volume,path,offset,size,date,kind,head4
TO7ROOT,/SKIT001.DAT,20948992,128844,2005-07-15 14:29:06 +36,FPS3,46505333
TO7ROOT,/SOUNDEXEC.ON,21078016,16,2005-08-12 18:08:19 +36,?,64646464
TO7ROOT,/SUNLIGHT.TM2,21080064,2112,2005-10-05 12:02:32 +36,TIM2,54494d32
TO7ROOT,/SUNLIGHT.TXD,21084160,2368,2005-10-25 16:58:40 +36,?,16000000
TO7ROOT,/SYSTEM.CNF,21088256,57,2005-10-29 16:39:13 +36,?,424f4f54
TO7ROOT,/S_NAMCOLOGO.TM2,21090304,143664,2005-10-05 12:02:31 +36,TIM2,54494d32
TO7ROOT,/S_TOA_LOGO.TM2,21235712,317824,2005-10-05 12:02:32 +36,TIM2,54494d32
TO7ROOT,/TERRBOX111.CB7,21555200,704,2005-10-21 11:22:52 +36,?,43423720
TO7ROOT,/TITLE.TXD,21557248,297260,2005-10-05 12:02:32 +36,?,16000000
TO7ROOT,/TO7PUBLIC.TXD,21856256,81352,2005-10-05 12:02:32 +36,?,16000000
TO7ROOT,/TOAEND_JP.TXT,21938176,12397,2005-11-14 13:02:40 +36,?,0d0a0d0a
TO7ROOT,/VSSVER.SCC,21952512,2912,2005-11-25 16:52:46 +36,VSSVER.SCC,34120100
TO7ROOT,/_ACS_.DAT,21956608,8128,2005-11-09 12:36:25 +36,?,cdcc4c3e
TO7ROOT,/_CC_.DAT,21964800,256,2005-10-05 12:02:27 +36,?,cdcccc3d
TO7ROOT,/_CKD_.DAT,21966848,6752,2005-11-09 17:47:23 +36,?,9a99993e
TO7ROOT,/_CLBD.DAT,21975040,5177488,2005-11-17 21:20:06 +36,zero-lead,00000000
TO7ROOT,/_FONTA.TM2,27154432,1312496,2005-10-05 12:02:27 +36,TIM2,54494d32
TO7ROOT,/_FONTB.TM2,28467200,644352,2005-11-01 13:45:44 +36,TIM2,54494d32
TO7ROOT,/_GRUP_.DAT,29112320,592,2005-10-26 19:27:11 +36,?,d2000000
TO7ROOT,/_ITEM1.TXD,29114368,717208,2005-10-05 12:02:27 +36,?,16000000
TO7ROOT,/_I_.DAT,29833216,89104,2005-11-17 21:20:06 +36,?,9a99193f
TO7ROOT,/_I_ICO.DAT,29923328,1296384,2005-10-27 17:06:43 +36,?,16000000
TO7ROOT,/_MCICO.DAT,31219712,40448,2005-10-11 13:19:31 +36,?,00000100
TO7ROOT,/_MCICO.SLZ,31260672,24546,2005-11-25 16:52:42 +36,codec block,03d95f00
TO7ROOT,/_SD000.SPB,31285248,48130,2005-11-11 20:06:08 +36,?,cdcccc3d
TO7ROOT,/_SD001.SPB,31334400,7598,2005-10-26 19:27:13 +36,?,cdcccc3d
TO7ROOT,/_SD002.SPB,31342592,7674,2005-10-26 19:27:13 +36,?,cdcccc3d
TO7ROOT,/_SD003.SPB,31350784,4652,2005-10-24 10:07:32 +36,?,cdcccc3d
TO7ROOT,/_SD004.SPB,31356928,4576,2005-10-13 10:31:57 +36,?,cdcccc3d
TO7ROOT,/_SD005.SPB,31363072,3074,2005-10-11 13:14:56 +36,?,cdcccc3d
TO7ROOT,/_SD006.SPB,31367168,1981,2005-10-11 13:14:56 +36,?,cdcccc3d
TO7ROOT,/_SD007.SPB,31369216,9147,2005-10-24 10:07:32 +36,?,cdcccc3d
TO7ROOT,/_SD008.SPB,31379456,9299,2005-10-25 16:58:39 +36,?,cdcccc3d
TO7ROOT,/_SD009.SPB,31389696,3719,2005-10-24 10:07:33 +36,?,cdcccc3d
TO7ROOT,/_SD010.SPB,31393792,3308,2005-10-17 15:35:01 +36,?,cdcccc3d
TO7ROOT,/_SD011.SPB,31397888,1981,2005-10-28 14:39:15 +36,?,cdcccc3d
TO7ROOT,/_SD012.SPB,31399936,1981,2005-10-28 14:39:15 +36,?,cdcccc3d
TO7ROOT,/_SD013.SPB,31401984,5488,2005-10-28 14:39:15 +36,?,cdcccc3d
TO7ROOT,/_SD015.SPB,31408128,4775,2005-10-11 13:14:56 +36,?,cdcccc3d
TO7ROOT,/_SD016.SPB,31414272,4319,2005-10-26 19:27:13 +36,?,cdcccc3d
TO7ROOT,/_SD017.SPB,31420416,6963,2005-10-11 13:14:56 +36,?,cdcccc3d
TO7ROOT,/_SD018.SPB,31428608,7115,2005-10-11 13:14:56 +36,?,cdcccc3d
TO7ROOT,/_SD020.SPB,31436800,4547,2005-10-17 10:42:12 +36,?,cdcccc3d
TO7ROOT,/_SD022.SPB,31442944,2466,2005-10-28 14:39:15 +36,?,cdcccc3d
TO7ROOT,/_SD023.SPB,31447040,4091,2005-10-24 10:07:33 +36,?,cdcccc3d
TO7ROOT,/_SD026.SPB,31451136,6685,2005-10-24 10:07:33 +36,?,cdcccc3d
TO7ROOT,/_SD027.SPB,31459328,5412,2005-11-11 20:06:08 +36,?,cdcccc3d
TO7ROOT,/_SD028.SPB,31465472,4728,2005-10-25 16:58:39 +36,?,cdcccc3d
TO7ROOT,/_SD029.SPB,31471616,4927,2005-10-24 10:07:33 +36,?,cdcccc3d
TO7ROOT,/_SD030.SPB,31477760,9252,2005-11-11 20:06:09 +36,?,cdcccc3d
TO7ROOT,/_SD031.SPB,31488000,6306,2005-10-26 19:27:13 +36,?,cdcccc3d
TO7ROOT,/_SLTSKL_.DAT,31496192,1200,2005-11-09 23:13:20 +36,?,cdcccc3d
TO7ROOT,/_SOUNDEXEC.ON,31498240,13,2005-08-02 12:11:35 +36,?,0d0a0d0a
TO7ROOT,/_SP_.DAT,31500288,31216,2005-11-09 23:13:20 +36,?,9a99993e
TO7ROOT,/_STG_.DAT,31533056,2688,2005-11-02 16:13:14 +36,?,cdcc4c3e
TO7ROOT,/_S_CC.TXD,31537152,272160,2005-10-26 19:58:59 +36,?,16000000
TO7ROOT,/_S_COOKING.TXD,31809536,30328,2005-10-26 19:58:59 +36,?,16000000
TO7ROOT,/_S_DNG01_01_PIC.TXD,31840256,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG01_02_PIC.TXD,31860736,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG01_PIC.TXD,31881216,20164,2005-10-05 12:02:28 +36,?,16000000
TO7ROOT,/_S_DNG02_01_PIC.TXD,31901696,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG02_PIC.TXD,31922176,20164,2005-10-05 12:02:28 +36,?,16000000
TO7ROOT,/_S_DNG03_PIC.TXD,31942656,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG05_01_PIC.TXD,31963136,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG05_PIC.TXD,31983616,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG06_01_PIC.TXD,32004096,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG06_PIC.TXD,32024576,20164,2005-10-05 12:02:29 +36,?,16000000
